section,group,metric,value
state_sensitivity,Baden-Württemberg,rain_ratio,2.301537327916793
state_sensitivity,Baden-Württemberg,frost_ratio,0.9955506054095183
state_sensitivity,Baden-Württemberg,sensitivity_index,1.6485439666631556
state_sensitivity,Baden-Württemberg,n_accidents,126702.0
state_kind,Baden-Württemberg,territorial_state,1.0
state_sensitivity,Bayern,rain_ratio,1.954505388814257
state_sensitivity,Bayern,frost_ratio,0.4601151573222572
state_sensitivity,Bayern,sensitivity_index,1.207310273068257
state_sensitivity,Bayern,n_accidents,165901.0
state_kind,Bayern,territorial_state,1.0
state_sensitivity,Berlin,rain_ratio,3.354020408874461
state_sensitivity,Berlin,frost_ratio,0.6331359087456816
state_sensitivity,Berlin,sensitivity_index,1.9935781588100714
state_sensitivity,Berlin,n_accidents,78083.0
state_kind,Berlin,city_state,1.0
state_sensitivity,Brandenburg,rain_ratio,2.8064403264597138
state_sensitivity,Brandenburg,frost_ratio,0.9800611837824966
state_sensitivity,Brandenburg,sensitivity_index,1.8932507551211053
state_sensitivity,Brandenburg,n_accidents,18939.0
state_kind,Brandenburg,territorial_state,1.0
state_sensitivity,Bremen,rain_ratio,3.202341667041035
state_sensitivity,Bremen,frost_ratio,1.1476353162567758
state_sensitivity,Bremen,sensitivity_index,2.1749884916489055
state_sensitivity,Bremen,n_accidents,61362.0
state_kind,Bremen,city_state,1.0
state_sensitivity,Hamburg,rain_ratio,3.0155322874927526
state_sensitivity,Hamburg,frost_ratio,1.5908736188718717
state_sensitivity,Hamburg,sensitivity_index,2.3032029531823124
state_sensitivity,Hamburg,n_accidents,78485.0
state_kind,Hamburg,city_state,1.0
state_sensitivity,Hessen,rain_ratio,2.4445878806928727
state_sensitivity,Hessen,frost_ratio,0.48951857886341765
state_sensitivity,Hessen,sensitivity_index,1.4670532297781451
state_sensitivity,Hessen,n_accidents,76477.0
state_kind,Hessen,territorial_state,1.0
state_sensitivity,Mecklenburg-Vorpommern,rain_ratio,3.400995511492559
state_sensitivity,Mecklenburg-Vorpommern,frost_ratio,2.45900380266145
state_sensitivity,Mecklenburg-Vorpommern,sensitivity_index,2.9299996570770044
state_sensitivity,Mecklenburg-Vorpommern,n_accidents,17674.0
state_kind,Mecklenburg-Vorpommern,territorial_state,1.0
state_sensitivity,Niedersachsen,rain_ratio,3.5696843917296017
state_sensitivity,Niedersachsen,frost_ratio,1.2537944419981564
state_sensitivity,Niedersachsen,sensitivity_index,2.4117394168638793
state_sensitivity,Niedersachsen,n_accidents,63457.0
state_kind,Niedersachsen,territorial_state,1.0
state_sensitivity,Nordrhein-Westfalen,rain_ratio,2.3840609413754357
state_sensitivity,Nordrhein-Westfalen,frost_ratio,0.6255156515832052
state_sensitivity,Nordrhein-Westfalen,sensitivity_index,1.5047882964793204
state_sensitivity,Nordrhein-Westfalen,n_accidents,145664.0
state_kind,Nordrhein-Westfalen,territorial_state,1.0
state_sensitivity,Rheinland-Pfalz,rain_ratio,3.375968709546234
state_sensitivity,Rheinland-Pfalz,frost_ratio,0.722696141819653
state_sensitivity,Rheinland-Pfalz,sensitivity_index,2.0493324256829437
state_sensitivity,Rheinland-Pfalz,n_accidents,82786.0
state_kind,Rheinland-Pfalz,territorial_state,1.0
state_sensitivity,Saarland,rain_ratio,2.342936995135475
state_sensitivity,Saarland,frost_ratio,0.6976543037143674
state_sensitivity,Saarland,sensitivity_index,1.5202956494249211
state_sensitivity,Saarland,n_accidents,18900.0
state_kind,Saarland,territorial_state,1.0
state_sensitivity,Sachsen,rain_ratio,2.7509951225519167
state_sensitivity,Sachsen,frost_ratio,0.9099416063367867
state_sensitivity,Sachsen,sensitivity_index,1.8304683644443518
state_sensitivity,Sachsen,n_accidents,59893.0
state_kind,Sachsen,territorial_state,1.0
state_sensitivity,Sachsen-Anhalt,rain_ratio,3.1683733408132113
state_sensitivity,Sachsen-Anhalt,frost_ratio,0.7940407358436669
state_sensitivity,Sachsen-Anhalt,sensitivity_index,1.981207038328439
state_sensitivity,Sachsen-Anhalt,n_accidents,35318.0
state_kind,Sachsen-Anhalt,territorial_state,1.0
state_sensitivity,Schleswig-Holstein,rain_ratio,2.7686025753345094
state_sensitivity,Schleswig-Holstein,frost_ratio,2.980634583487768
state_sensitivity,Schleswig-Holstein,sensitivity_index,2.8746185794111385
state_sensitivity,Schleswig-Holstein,n_accidents,22131.0
state_kind,Schleswig-Holstein,territorial_state,1.0
state_sensitivity,Thüringen,rain_ratio,3.191073210760691
state_sensitivity,Thüringen,frost_ratio,1.1520576245338494
state_sensitivity,Thüringen,sensitivity_index,2.1715654176472703
state_sensitivity,Thüringen,n_accidents,33412.0
state_kind,Thüringen,territorial_state,1.0
